Mixture;B cells;CD4 Naive;CD4 Memory;CD8 Naive;CD8 Memory;CD8 Effector;Treg cell;Th cell;Monocytes CD16;Monocytes CD14;DC;NK
TCGA-EB-A4IQ-01A-12R-A266-07;0.048393953;0;0;0.185900626;0.013054032;0;0;0.369158842;0.328496743;0;0;0.003099634
TCGA-FS-A4F5-06A-11R-A266-07;0;0.00110482;0.410980737;0;0;0.002500163;0.059676807;0.215123054;0;0.106757365;0.003893703;0.004781845
TCGA-EB-A4P0-01A-41R-A266-07;0.020150764;0;0.272360791;0;0;0.008219057;0;0.449562333;0;0.056943415;0.01307606;0
TCGA-EB-A44R-06A-41R-A266-07;0.054503727;0.114569991;0;0;0;0.022822782;0;0.284882067;0;0.028227835;0.10642798;0
TCGA-FS-A4F8-06A-11R-A266-07;0.115630859;0;0.075265283;0;0.03932421;0.005406289;0;0.471161738;0;0;0.069866662;0
TCGA-FS-A4FB-06A-11R-A266-07;0;0;0.269550895;0;0;0.006789058;0;0.398978882;0;0.094460211;0;0.000632281
TCGA-EB-A44Q-06A-11R-A266-07;0.019096562;0.272413718;0.134044967;0;0;0.032611289;0;0.053938096;0;0;0.239146611;0
TCGA-FS-A4F4-06A-12R-A266-07;0.142462369;0;0;0;0;0.017323565;0.228182737;0.037727472;0;0;0.382848969;0
TCGA-FS-A4FD-06A-11R-A266-07;0.009445587;0.007531406;0.042915909;0.037724087;0;0;0;0.705752059;0.000757316;0;0.000898525;0.000101756
TCGA-EB-A4OY-01A-11R-A266-07;0;0;0;0.202930491;0;0;0.416202188;0.138562403;0.002387542;0;0;0.002848016
TCGA-EB-A4OZ-01A-12R-A266-07;0.091692223;0.063972377;0.04184265;0;0;0.027705257;0.213252827;0;0.179584427;0;0.284026059;0.009710661
TCGA-EB-A4IS-01A-21R-A266-07;0.149526981;0.053022772;0.159232062;0;0;0.029517735;0;0.123864686;0;0.067985353;0.130580305;0
TCGA-BF-A5EP-01A-12R-A27Q-07;0;0;0.158444111;0.15847913;0;0;0;0.331297689;0;0.039169101;0;0.001329992
TCGA-BF-A5EQ-01A-21R-A27Q-07;0;0;0.220427284;0.042770592;0;0;0;0.168046104;0;0;0.208862298;0
TCGA-BF-A5EO-01A-12R-A27Q-07;0.022086765;0;0.272083272;0.07768217;0;0;0.040470649;0.06585868;0.058112461;0;0.275157393;0.005561408
TCGA-BF-A5ER-01A-12R-A27Q-07;0;0;0.058112524;0.299131574;0;0;0.147968473;0.305578894;0.002440268;0.013574974;0;0.006364763
TCGA-BF-A5ES-01A-11R-A27Q-07;0;0;0.233876474;0;0;0.003190399;0.107737372;0.091928576;0;0.084901039;0.022224212;0.001536871
TCGA-D3-A5GL-06A-11R-A27Q-07;0;0;0.427111078;0;0;0.008672682;0;0.252689182;0;0.075264424;0;0.000888948
TCGA-D3-A5GN-06A-11R-A27Q-07;0.14802666;0.235752997;0.156367365;0;0;0.041727957;0;0.237570613;0;0;0.085590146;0
TCGA-D3-A5GR-06A-11R-A27Q-07;0.064460883;0.179527483;0.108395531;0;0;0.020793356;0;0.289050658;0;0;0.194463441;0
TCGA-D3-A5GO-06A-12R-A27Q-07;0;0.049998781;0.287916709;0;0;0.010396028;0;0.15630434;0;0.057063947;0.341560868;0
